,ene,err,tau,i,dmc_type,Jas,delta
293,-2.952009871613882,0.05094156073547325,0.01,50,DMCdla5,Jdimer,-0.0032589368274784647
294,-2.8496809520229363,0.04432913624605292,0.03,50,DMCdla5,Jdimer,-0.0032589368274784647
295,-2.9221204751347614,0.06356850414614379,0.1,50,DMCdla5,Jdimer,-0.0032589368274784647
296,-1.6909135837904614,0.04609625829747385,0.1,51,DMCdla5,Jopt,-0.07365002710866975
297,-1.6500149429120938,0.038595801890720115,0.03,51,DMCdla5,Jopt,-0.07365002710866975
298,-1.4954127111504931,0.04802353332094502,0.01,51,DMCdla5,Jopt,-0.07365002710866975
299,-1.8157730816110416,0.05011307192358576,0.1,51,DMCdla5,Jdimer,-0.07365002710866975
300,-1.7097817243920872,0.04219437447811519,0.03,51,DMCdla5,Jdimer,-0.07365002710866975
301,-1.6053652095706639,0.045252186445136504,0.01,51,DMCdla5,Jdimer,-0.07365002710866975
302,-4.60175196443015,0.08664853889418123,0.01,52,DMCdla5,Jopt,0.03542499162722379
303,-4.690571921724768,0.06176896945076625,0.03,52,DMCdla5,Jopt,0.03542499162722379
304,-4.69880356752401,0.08322833347955495,0.1,52,DMCdla5,Jopt,0.03542499162722379
305,-4.630631799231196,0.07902006050374659,0.01,52,DMCdla5,Jdimer,0.03542499162722379
306,-4.717821525526233,0.06100185801641855,0.03,52,DMCdla5,Jdimer,0.03542499162722379
307,-4.67044608062497,0.08439144273133554,0.1,52,DMCdla5,Jdimer,0.03542499162722379
308,-4.294142997125164,0.06487973577018365,0.01,53,DMCdla5,Jopt,0.04391711522475816
309,-4.303511897021963,0.058766919662634816,0.03,53,DMCdla5,Jopt,0.04391711522475816
310,-4.537830299927009,0.07212286243329888,0.1,53,DMCdla5,Jopt,0.04391711522475816
311,-4.289721659424686,0.059391807705109406,0.01,53,DMCdla5,Jdimer,0.04391711522475816
312,-4.403470860623202,0.05918010086584083,0.03,53,DMCdla5,Jdimer,0.04391711522475816
313,-4.3919984212261625,0.07404379012722685,0.1,53,DMCdla5,Jdimer,0.04391711522475816
314,-3.224576255532156,0.06205681907161376,0.01,54,DMCdla5,Jopt,0.07562873233109713
315,-3.3122590751318057,0.04628254762051856,0.03,54,DMCdla5,Jopt,0.07562873233109713
316,-3.661583632836482,0.06297138371513293,0.1,54,DMCdla5,Jopt,0.07562873233109713
317,-3.252011883932937,0.053269549220544,0.01,54,DMCdla5,Jdimer,0.07562873233109713
318,-3.3903641203323787,0.04699440225872613,0.03,54,DMCdla5,Jdimer,0.07562873233109713
319,-3.96173605673539,0.060196740697811474,0.1,54,DMCdla5,Jdimer,0.07562873233109713
320,-3.9966043082240503,0.06607645941577273,0.01,55,DMCdla5,Jopt,0.015731625724583864
321,-4.031231963022947,0.04856152974996461,0.03,55,DMCdla5,Jopt,0.015731625724583864
322,-3.8949149961299554,0.06890854126572994,0.1,55,DMCdla5,Jopt,0.015731625724583864
323,-4.021763220926005,0.057469823569813165,0.01,55,DMCdla5,Jdimer,0.015731625724583864
324,-4.096259009324058,0.04958587690392035,0.03,55,DMCdla5,Jdimer,0.015731625724583864
325,-4.354840266629253,0.06601963576702916,0.1,55,DMCdla5,Jdimer,0.015731625724583864
326,-3.0856758609297685,0.0643598957150751,0.01,56,DMCdla5,Jopt,0.0034658873337320983
327,-2.9536369357319927,0.050687187463006544,0.03,56,DMCdla5,Jopt,0.0034658873337320983
328,-2.915247507036838,0.06749865123746267,0.1,56,DMCdla5,Jopt,0.0034658873337320983
329,-3.0370533556306327,0.05583543925092511,0.01,56,DMCdla5,Jdimer,0.0034658873337320983
330,-2.9960235295329767,0.05060958116980601,0.03,56,DMCdla5,Jdimer,0.0034658873337320983
331,-3.127332715836019,0.06426952438876986,0.1,56,DMCdla5,Jdimer,0.0034658873337320983
332,-5.152627983919956,0.07329607501891691,0.01,57,DMCdla5,Jopt,0.012726702116196975
333,-5.181817678912921,0.06596680294185812,0.03,57,DMCdla5,Jopt,0.012726702116196975
334,-5.411634924017562,0.07968284114408483,0.1,57,DMCdla5,Jopt,0.012726702116196975
335,-5.179784903819382,0.06970887901034883,0.01,57,DMCdla5,Jdimer,0.012726702116196975
336,-5.403882222712127,0.06605824507053265,0.03,57,DMCdla5,Jdimer,0.012726702116196975
337,-6.02461277601833,0.07825824890842857,0.1,57,DMCdla5,Jdimer,0.012726702116196975
338,-4.466712040404673,0.09841175463968965,0.01,58,DMCdla5,Jopt,0.022439068008679897
339,-4.300110228912672,0.06093113274934948,0.03,58,DMCdla5,Jopt,0.022439068008679897
340,-4.390693231311161,0.08990517408649362,0.1,58,DMCdla5,Jopt,0.022439068008679897
341,-4.411003123605042,0.09808206174745442,0.01,58,DMCdla5,Jdimer,0.022439068008679897
342,-4.229494624109066,0.06544363255666154,0.03,58,DMCdla5,Jdimer,0.022439068008679897
343,-3.940764709310315,0.08844094365588075,0.1,58,DMCdla5,Jdimer,0.022439068008679897
344,-3.0589365407286095,0.03690197949365565,0.01,59,DMCdla5,Jopt,-5.503200372913852e-05
345,-3.157808964706419,0.033752079140414,0.03,59,DMCdla5,Jopt,-5.503200372913852e-05
346,-3.523615927248102,0.04461238376848752,0.1,59,DMCdla5,Jopt,-5.503200372913852e-05
347,-3.1278480417367973,0.03625405729471475,0.01,59,DMCdla5,Jdimer,-5.503200372913852e-05
348,-3.220836271546432,0.03560953885190495,0.03,59,DMCdla5,Jdimer,-5.503200372913852e-05
349,-3.7035119233551086,0.04539673600484327,0.1,59,DMCdla5,Jdimer,-5.503200372913852e-05
350,-5.21992518668776,0.06433044450334165,0.1,60,DMCdla5,Jopt,0.030954283734899946
351,-5.055507717341243,0.05752991187052577,0.03,60,DMCdla5,Jopt,0.030954283734899946
352,-5.05273415596821,0.06300003747489123,0.01,60,DMCdla5,Jopt,0.030954283734899946
353,-4.066623069138586,0.07285182211349162,0.1,61,DMCdla5,Jopt,0.060040491036488675
354,-2.9611400783396675,0.06620142312104782,0.03,61,DMCdla5,Jopt,0.060040491036488675
355,-2.613963974039507,0.07135380325848587,0.01,61,DMCdla5,Jopt,0.060040491036488675
356,-2.804396998439188,0.07015267932999544,0.003,61,DMCdla5,Jopt,0.060040491036488675
357,-4.0121565927656775,0.07427327456565522,0.1,62,DMCdla5,Jopt,0.04386666396749206
358,-3.4149446185692796,0.06292697914994544,0.03,62,DMCdla5,Jopt,0.04386666396749206
359,-3.2887049584714987,0.0706844514560567,0.01,62,DMCdla5,Jopt,0.04386666396749206
360,-3.227619749162841,0.0672344569820592,0.003,62,DMCdla5,Jopt,0.04386666396749206
361,-3.6251899490016513,0.0746487878571394,0.003,63,DMCdla5,Jopt,0.01286964729661122
362,-3.6652842374969623,0.0646745142686228,0.01,63,DMCdla5,Jopt,0.01286964729661122
363,-3.432229005797126,0.06279127025696186,0.03,63,DMCdla5,Jopt,0.01286964729661122
364,-3.495145712800877,0.07515070881960251,0.1,63,DMCdla5,Jopt,0.01286964729661122
365,-2.8909185663196695,0.06556584098322905,0.01,64,DMCdla5,Jopt,0.04457925638416782
366,-2.753050364801311,0.06767174739942687,0.03,64,DMCdla5,Jopt,0.04457925638416782
367,-2.7747633931758173,0.06504955094837549,0.1,64,DMCdla5,Jopt,0.04457925638416782
368,-4.283961756736062,0.06169444584249093,0.01,65,DMCdla5,Jopt,0.0364185171056306
369,-4.30600080451859,0.04669478537986533,0.03,65,DMCdla5,Jopt,0.0364185171056306
370,-4.252711039555834,0.060315202134363685,0.1,65,DMCdla5,Jopt,0.0364185171056306
371,-4.311083547546332,0.061035925081165614,0.01,65,DMCdla5,Jdimer,0.0364185171056306
372,-4.300576392856783,0.04894539647605004,0.03,65,DMCdla5,Jdimer,0.0364185171056306
373,-4.090176527465701,0.06057435424717211,0.1,65,DMCdla5,Jdimer,0.0364185171056306
374,-3.972894796756009,0.0648436859551519,0.01,66,DMCdla5,Jopt,-0.021816710541315842
375,-3.9534103477599274,0.04829070901055519,0.03,66,DMCdla5,Jopt,-0.021816710541315842
376,-3.79804151135977,0.06486588253006564,0.1,66,DMCdla5,Jopt,-0.021816710541315842
377,-3.882917456456198,0.06476524837462579,0.01,66,DMCdla5,Jdimer,-0.021816710541315842
378,-3.9155280100603704,0.04956260978873781,0.03,66,DMCdla5,Jdimer,-0.021816710541315842
379,-3.6024762824563368,0.06350223856754299,0.1,66,DMCdla5,Jdimer,-0.021816710541315842
